id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,categories
31,Bar Rione,804 NW 12th Ave,Portland,OR,97209,45.5289822,-122.6831063,4.5,35,"Bars, Food, Restaurants, Beer, Wine & Spirits, Nightlife, Italian, Wine Bars, Cocktail Bars"
32,Taco Bell,13480 Nw Science Park Dr,Portland,OR,97229,45.5247072,-122.8155379,2.0,48,"Restaurants, Fast Food, Breakfast & Brunch, Tacos, Mexican, Tex-Mex"
33,Panda Express,1462 NE 122nd Ave,Portland,OR,97230,45.533263,-122.5373376,2.0,27,"Chinese, Restaurants, Fast Food"
34,Mac and Tot Box,3905 SE 82nd Ave,Portland,OR,97266,45.4936755,-122.5793608,4.0,7,"Comfort Food, Food, Italian, Food Trucks, Burgers, Restaurants"
35,f&b cafe and catering,2701 NW Vaughn St,Portland,OR,97210,45.5375748,-122.7083825,2.5,11,"Cafes, American (Traditional), Restaurants"
36,Matt's BBQ Tacos,3207 SE Hawthorne Blvd,Portland,OR,97214,45.512267,-122.6323559,4.5,112,"Restaurants, Mexican, Barbeque, Food, Tacos, Food Trucks"
37,Picnic PDX,1305 NW 23rd Ave,Portland,OR,97210,45.53217,-122.699013,4.5,44,"Cocktail Bars, Restaurants, American (New), Salad, Nightlife, Bars, Sandwiches"
38,Boyds Coffee,404 NW 11th Ave,Portland,OR,97209,45.5260759,-122.6819204,3.5,14,"Coffee & Tea, Restaurants, Food"
39,Noodles & Company,100 NW 10th Ave,Portland,OR,97209,45.5238168,-122.6808522,3.5,141,"Asian Fusion, Mediterranean, Comfort Food, American (Traditional), Italian, Noodles, Restaurants"
40,Mandi House,819 N Killingsworth St,Portland,OR,97217,45.5627869,-122.6755114,3.5,72,"Restaurants, Mediterranean, Halal, Middle Eastern"
41,Outback Steakhouse,9500 SE 82nd Ave,Portland,OR,97266,45.4544583,-122.5787463,2.5,150,"Steakhouses, Restaurants"
42,Wildflower Baking,1639 NW Glisan St,Portland,OR,97209,45.5265522,-122.688183,4.5,6,"Desserts, Food, American (New), Restaurants, Bakeries, Breakfast & Brunch"
43,Chopsticks,3616 SE Hawthorne Blvd,Portland,OR,97214,45.5119301,-122.6263452,3.0,36,"Chinese, Vietnamese, Restaurants, Asian Fusion, Thai"
44,Gonzo At Bar XV,1527 SW 2nd Ave,Portland,OR,97204,45.5228622485,-122.6724387118,4.5,75,"Mediterranean, Food, Bars, Vegetarian, Food Trucks, Gluten-Free, Nightlife, Middle Eastern, Restaurants"
45,Pollo Bravo,1128 SW Alder St,Portland,OR,97205,45.5211215191,-122.6835216,4.5,25,"Tapas Bars, Restaurants"
46,Taqueria Luna,1299 SE Lexington St,Portland,OR,97202,45.4672699,-122.6531317,4.5,21,"Food Trucks, Food, Restaurants, Mexican"
47,Taqueria Antojitos Yucateco,10175 SE Stark St,Portland,OR,97216,45.5192806032,-122.5585593831,4.5,65,"Restaurants, Food Stands, Mexican"
48,Kabob Kabob Persian Food,432 SW 3rd Ave,Portland,OR,97204,45.5198475,-122.6742938,5.0,6,"Restaurants, Food Stands, Kebab, Persian/Iranian, Fast Food"
49,Devaki's Deli,4906 NE 122nd Ave,Portland,OR,97230,45.558765,-122.53718,3.5,11,"Delis, Sandwiches, Food, Burgers, Restaurants"
50,Certo,1533 NE Alberta St,Portland,OR,97211,45.5592431,-122.648928,4.5,9,"Food, Italian, Food Trucks, Restaurants, Food Stands"
51,Nutshell,3808 N Williams Ave,Portland,OR,97227,45.5503455,-122.6665844,4.0,26,"Vegetarian, Restaurants, Vegan"
52,Boxxes Video Bar,330 SW 11th St,Portland,OR,97205,45.5224014,-122.6818992,3.5,17,"Restaurants, Seafood, Gay Bars, Bars, Nightlife"
53,We Be Weiners,"A La Carts Food Pavillion, SE 50th Ave & SE Division St",Portland,OR,97206,45.484834,-122.598102,3.0,9,"Restaurants, Hot Dogs, American (Traditional), Food Stands, Food"
54,Chan's Garden,14790 SE Webster Rd,Portland,OR,97267,45.4165053,-122.5928369,2.0,14,"Restaurants, Shopping, Chinese, Home & Garden, Nurseries & Gardening"
55,Teote Outpost,126 SW 2nd Ave,Portland,OR,97204,45.5215004,-122.6724068,3.5,21,"Restaurants, Latin American"
56,Your Inn Tavern,7004 N Catlin Ave,Portland,OR,97203,45.5937668,-122.7617864,4.0,40,"Bars, American (New), Restaurants, Nightlife"
57,Kkoki Korean BBQ - Portland,"8001 SE Powell Blvd, Ste O",Portland,OR,97206,45.4990766,-122.5802742,4.0,86,"Barbeque, Korean, Restaurants"
58,Pizza Hut,7405 Barbur Blvd,Portland,OR,97219,45.4717738,-122.6858939,2.0,31,"Pizza, Restaurants, Italian, Chicken Wings"
59,Holy Smokes Righteous Eats,3975 SW Beaverton Hillsdale Hwy,Portland,OR,97221,45.4853202,-122.7178121,4.0,32,"Kosher, Food, Halal, Food Trucks, Restaurants, Barbeque"
60,Reo's Ribs,11140 SE Powell Blvd,Portland,OR,97266,45.495806,-122.548422,2.5,54,"American (Traditional), Soul Food, Southern, Barbeque, Comfort Food, Restaurants"
61,Pizza Nostra,4831 NE Fremont St,Portland,OR,97213,45.5483779653,-122.6131725311,3.5,143,"Pizza, Salad, Italian, Restaurants, Food, Food Delivery Services"
62,Safeway,13485 NW Cornell Rd,Portland,OR,97229,45.5279674,-122.8144201,2.5,52,"Grocery, Delis, Drugstores, Restaurants, Food, Bakeries, Shopping"
63,Bhuna,704 NW 21st Ave,Portland,OR,97209,45.5278598478,-122.694169879,4.0,131,"Restaurants, Indian, Wine Bars, Nightlife, Event Planning & Services, Bars, Vegetarian, Cocktail Bars, Venues & Event Spaces, Vegan"
64,The Stacks Coffeehouse,1831 N Killingsworth St,Portland,OR,97217,45.5629371,-122.6862232,4.5,37,"Breakfast & Brunch, Food, Restaurants, Coffee & Tea"
65,GP Kitchen,433 NW 10th Ave,Portland,OR,97209,45.5263018,-122.6815055,4.5,10,"Salad, Restaurants, Delis, Cafes, American (Traditional)"
66,Tabor Hill Cafe,3766 SE Hawthorne Blvd,Portland,OR,97214,45.51196,-122.624594,3.5,44,"American (Traditional), Restaurants"
67,Fonda Rosa,108 NE 28th Ave,Portland,OR,97232,45.5237001074,-122.6371273784,4.0,153,"Restaurants, Mexican"
68,Pacific Grille,7101 NE 82nd Ave,Portland,OR,97220,45.5743094,-122.5793881,2.0,17,"Restaurants, American (Traditional)"
69,TNT Grillin,625 NE Killingsworth St,Portland,OR,97211,45.5629014,-122.6589565,4.0,5,"Sandwiches, Food Trucks, Burgers, Food Stands, Restaurants, Food"
70,Burnside Brewing,701 E Burnside St,Portland,OR,97214,45.5233947,-122.6583722,3.5,538,"Pubs, Bars, Food, American (New), Nightlife, Breakfast & Brunch, Breweries, Restaurants"
71,Basilisk,820 NE 27th Ave,Portland,OR,97232,45.5290499433,-122.638252,4.5,497,"American (New), Chicken Shop, Restaurants"
72,Subway,5135 SE Foster Rd,Portland,OR,97206,45.4961907591,-122.6093193826,2.5,21,"Sandwiches, Restaurants, Fast Food"
73,Over the Top,"A La Carts Food Pavillion, SE 50th Ave & SE Division St",Portland,OR,97206,45.5053663,-122.5998345,4.5,22,"Restaurants, Food Stands, Burgers"
74,Boxer Ramen,1613 SE Bybee Blvd,Portland,OR,97202,45.4737835754,-122.649564743,4.0,42,"Ramen, Japanese, Restaurants"
75,Auntie Anne's,9469 SW Washington Square Rd,Portland,OR,97223,45.4494683,-122.7833414,2.0,12,"Pretzels, Food, Fast Food, Restaurants, Bakeries"
76,Khao Moo Dang,3145 SE Hawthorne Blvd,Portland,OR,97214,45.512252,-122.6328667,4.5,67,"Noodles, Restaurants, Thai, Comfort Food"
77,Dublin Pub,6821 SW Beaverton Hillsdale Hwy,Portland,OR,97225,45.4868189,-122.747285,3.0,91,"Arts & Entertainment, Music Venues, Bars, Food, Pubs, Beer, Wine & Spirits, Restaurants, Irish, Nightlife"
78,La Costita,7405 SW Barbur Blvd,Portland,OR,97219,45.4716244201,-122.6859033109,3.0,95,"Nightlife, Mexican, Lounges, Bars, Restaurants"
79,Mint 820,816 N Russell St,Portland,OR,97227,45.5409362,-122.6750666,3.5,268,"Bars, American (New), Nightlife, Lounges, Restaurants, Cocktail Bars"
80,Papa Lee's Kitchen,1122 SE Tacoma St,Portland,OR,97202,45.4642245,-122.6544946,5.0,42,"Food Trucks, Food, Restaurants, Food Stands, Street Vendors"
81,South,930 SE Oak St,Portland,OR,97214,45.519926,-122.656011,5.0,49,"Food Trucks, Restaurants, Southern, Food"
82,Café Nordstrom,701 SW Broadway,Portland,OR,97205,45.519155,-122.6803131,4.0,8,"Cafes, Diners, American (New), Restaurants"
83,HOTLIPS Pizza - PSU,1909 SW 6th Ave,Portland,OR,97201,45.5102042,-122.6834488,4.0,194,"Local Flavor, Fast Food, Gluten-Free, Pizza, Restaurants"
84,The Wooden Chicken,12500 NE Sandy Blvd,Portland,OR,97230,45.5561028,-122.5335364,3.5,110,"Bars, Nightlife, American (New), Restaurants, Pubs"
85,St Johns Coffee Roasters,7304 N Leavitt Ave,Portland,OR,97203,45.5892997,-122.754006,4.5,97,"Coffee & Tea, Restaurants, Sandwiches, Food, Coffee Roasteries, Internet Cafes, Bagels"
86,Auntie Anne's,12000 SE 82nd Ave,Portland,OR,97266,45.435855,-122.572803,1.5,21,"Pretzels, Fast Food, Food, Restaurants, Bakeries"
87,Skipper's Seafood'n Chowder House,10859 SE 82nd Ave,Portland,OR,97266,45.4443465,-122.5792748,3.0,11,"Seafood, Restaurants"
88,Gyro Grill,8414 SE 32nd Ave,Portland,OR,97222,45.4623912,-122.6295169,4.5,67,"Middle Eastern, Halal, Restaurants, Mediterranean"
89,Signal Station Pizza,8302 N Lombard St,Portland,OR,97203,45.5891878,-122.7523311,4.0,138,"Pizza, Restaurants"
90,Checkerboard Pizza,126 SW 2nd Ave,Portland,OR,97204,45.5214549602,-122.6723356918,4.0,60,"Pizza, Restaurants"
91,Hongs Restaurant Equipment & Supplies,8303 SE Insley St,Portland,OR,97266,45.483826,-122.577451,4.0,7,"Kitchen & Bath, Restaurant Supplies, Home & Garden, Restaurants, Professional Services, Wholesale Stores, Wholesalers, Shopping"
92,Biscuits Cafe,17502 SE McLoughlin Blvd,Portland,OR,97267,45.3956555,-122.6159695,3.5,20,"American (Traditional), Cafes, Breakfast & Brunch, Restaurants"
93,Urban Garlic,,Portland,OR,,45.52454,-122.67178,3.5,7,"Food, Food Trucks, Sandwiches, Food Stands, Restaurants"
94,Moda Cars,12832 NE Airport Way,Portland,OR,97230,45.5625589879,-122.5286962341,1.0,6,"Car Dealers, Automotive, Restaurants, Pizza"
95,Hungaricana,1331 N Killingsworth,Portland,OR,97217,45.5626737,-122.6808516,4.0,7,"Food Stands, Food, Food Trucks, Restaurants, Hungarian, Street Vendors"
96,Knuckle Sandwich,"2137 E Burnside St, Ste D",Portland,OR,97214,45.5231622,-122.6437679,4.0,70,"Restaurants, Sandwiches"
97,Portland Steak & Chophouse,121 SW 3rd Avenue,Portland,OR,97204,45.5221926,-122.673869,3.5,9,"Restaurants, Steakhouses"
98,Sanborn's,3200 SE Milwaukie Ave,Portland,OR,97202,45.5001642,-122.6539839,4.0,346,"Breakfast & Brunch, Restaurants"
99,Oaks Bottom Public House,1621 SE Bybee Blvd,Portland,OR,97202,45.473880199999996,-122.6494217,3.5,217,"Salad, Restaurants, Bars, Nightlife, Beverage Store, Soup, American (Traditional), Burgers, Food, Breweries, Pubs, Beer, Wine & Spirits, Sandwiches"
100,Bunk,211 SW 6th Ave,Portland,OR,97204,45.522186849,-122.6770756159,4.0,203,"Sandwiches, Restaurants, Nightlife, Bars, Breakfast & Brunch"
101,Simpatica Dining Hall,828 SE Ash St,Portland,OR,97214,45.5213705,-122.6570574,4.5,247,"Diners, Event Planning & Services, Restaurants, American (New), American (Traditional), Beer, Wine & Spirits, Local Flavor, Italian, Caterers, Sandwiches, Food, Breakfast & Brunch"
102,Chu's Eatery,17110 SE Powell Blvd,Portland,OR,97236,45.4924861,-122.4873637,3.5,71,"Chinese, Restaurants"
103,Thai Time Cafe,1037 SW Morrison St,Portland,OR,97205,45.5203279,-122.6828747,4.0,73,"Restaurants, Thai"
104,The Mocking Bird,5235 NE Sandy Blvd,Portland,OR,97213,45.540755305,-122.6093143185,4.5,49,"Food Trucks, Vegan, Gluten-Free, Burgers, Restaurants, Food"
105,Maiphai Thai Cuisine,108 SW Pine St,Portland,OR,97204,45.5209573,-122.6722422,4.0,104,"Nightlife, Bars, Thai, Food, Restaurants, Event Planning & Services, Beer, Wine & Spirits, Caterers"
106,Miami Nice,2137 E Burnside,Portland,OR,97232,45.5231822,-122.6437529,4.5,27,"Restaurants, Vegetarian, Cuban, Latin American, Vegan"
107,Rescue Bagels,SW 6th Ave and Columbia,Portland,OR,97201,45.514428,-122.681189,4.0,23,"Breakfast & Brunch, Restaurants, Food, Food Stands, Bagels"
108,Jalapeño Grill,14919 SE Stark St,Portland,OR,97233,45.5193294672,-122.5095614791,3.5,5,"American (Traditional), Mexican, Restaurants"
109,Random Order Pie Bar,1800 NE Alberta St,Portland,OR,97211,45.5589826754,-122.6466879457,4.0,514,"Bars, Restaurants, Coffee & Tea, Bakeries, Food, Desserts, Nightlife"
110,Chompers Growlers & Cantina Cantinflas,901 N Anchor Way,Portland,OR,97217,45.6031466,-122.6762632,4.0,10,"Mexican, Burgers, Food, Restaurants"
111,Taco Del Mar,1930 SW 4th Ave,Portland,OR,97207,45.509047699999996,-122.6809337,2.0,27,"Restaurants, Mexican"
112,The Trap Restaurant,3805 SE 52nd Ave,Portland,OR,97206,45.4952678,-122.6092467,3.5,42,"Karaoke, American (Traditional), Dive Bars, Restaurants, Bars, Nightlife"
113,Cha Cha Cha Taqueria,5225 N Lombard St,Portland,OR,97203,45.5819776,-122.7220669,3.0,211,"Restaurants, Mexican"
114,Il Piatto,2348 SE Ankeny St,Portland,OR,97214,45.5220507,-122.6416291,2.5,92,"Italian, Restaurants"
115,Phat Cart,6238 SW Capitol Hwy,Portland,OR,97239,45.4787968,-122.6931126,4.0,35,"Food Stands, Restaurants, Asian Fusion"
116,Blue Basil Thai Cuisine,3801 SE Belmont St,Portland,OR,97214,45.51659,-122.6242609,4.0,32,"Restaurants, Thai"
117,North Harbour Cafe,1231 N Anchor Way,Portland,OR,97217,45.6048415,-122.6787581,3.5,6,"Food, Internet Cafes, Cafes, Restaurants"
118,Rain City Coffee,2035 NE 41st Ave,Portland,OR,97212,45.5376095,-122.6212403,3.5,11,"Sandwiches, Coffee & Tea, Restaurants, Food"
119,Senate,71 SW 2nd Ave,Portland,OR,97204,45.5222443,-122.6724998,3.5,29,"Music Venues, Nightlife, Tapas/Small Plates, American (Traditional), Restaurants, Lounges, Breakfast & Brunch, Arts & Entertainment, Bars, Dance Clubs"
120,Roux,1700 N Killingsworth Street,Portland,OR,97255,45.562554,-122.685083,4.0,57,"Cajun/Creole, French, Restaurants"
121,Tight Tacos,602 SE Salmon St,Portland,OR,97214,45.5142401314,-122.6596239382,4.5,142,"Breakfast & Brunch, Food Trucks, Tex-Mex, Food Stands, Tacos, Restaurants, Food, Mexican"
122,Southland Whiskey Kitchen,1422 NW 23rd Ave,Portland,OR,97210,45.5330418,-122.6985210425,3.5,510,"Pubs, American (Traditional), Restaurants, Bars, Whiskey Bars, Barbeque, Nightlife, Southern"
123,Umai Japanese Twist,3714 SW Macadam Ave,Portland,OR,97239,45.4962094,-122.6725594,4.5,14,"Japanese, Asian Fusion, Japanese Curry, Restaurants"
124,Popeyes Louisiana Kitchen,8111 SE Foster Rd,Portland,OR,97206,45.483279,-122.5793376,2.0,99,"Cajun/Creole, American (Traditional), Restaurants, Food, Fast Food, Desserts, Chicken Wings"
125,Kate's Ice Cream,"2636 NE Sandy Blvd, Ste F",Portland,OR,97232,45.5283148,-122.6386321,5.0,25,"Vegan, Food, Ice Cream & Frozen Yogurt, Restaurants"
126,Lilikoi,NE 11th & Alberta St,Portland,OR,97217,45.5590997,-122.6546088,4.5,92,"Restaurants, Food Trucks, Hawaiian, Food, Asian Fusion"
127,City Thai Portland,6341 SW Capitol Hwy,Portland,OR,97239,45.4786998,-122.6955135,3.5,233,"Restaurants, Chinese, Nightlife, Food, Thai, Sushi Bars, Bars"
128,Moonlight Grill,8421 SW Terwilliger Blvd,Portland,OR,97219,45.4639955,-122.6843247,4.5,8,"Restaurants, Mediterranean"
129,Pizza Nostra,7237 N Philadelphia Ave,Portland,OR,97203,45.5895935,-122.755854,4.0,64,"Salad, Restaurants, Pizza"
130,Yan Zi Lou,"2788 SE 82nd Ave, Ste 103",Portland,OR,97266,45.5023567,-122.5784636,3.5,29,"Restaurants, Chinese"
131,Jin Jin Deli,"8220 SE Harrison St, Ste 138a",Portland,OR,97216,45.5082178,-122.5784607,4.5,89,"Chinese, Restaurants, Japanese, Delis, Korean, Vietnamese"
132,Village Patisserie,1122 SE Tacoma St,Portland,OR,97202,45.464174,-122.654402,5.0,25,"Desserts, Food Trucks, Sandwiches, French, Bakeries, American (New), Restaurants, Food"
133,Mt. Hood Brewing Co. - Tilikum Station,401 SE Caruthers St,Portland,OR,97214,45.5063784,-122.6615804,4.0,70,"Food, Breweries, Restaurants, Ice Cream & Frozen Yogurt, Pizza"
134,Yum Zap,4290 SE Belmont St,Portland,OR,97215,45.5165514,-122.6179155,4.0,21,"Street Vendors, Thai, Food Stands, Restaurants, Food"
135,Chen's Express,5230 NE Sandy Blvd,Portland,OR,97213,45.540286073,-122.6094328612,3.5,52,"Food Trucks, Chinese, Street Vendors, Restaurants, Food"
136,U-Licious Smokehouse & Grill,625 NE Killingsworth St,Portland,OR,97211,45.5629709,-122.6591093,2.5,45,"Smokehouse, Food, Barbeque, Restaurants"
137,Ranch PDX,916 NW 21st Ave,Portland,OR,97209,45.529496,-122.694267,4.5,45,"Restaurants, Pizza"
138,Greek Express,827 SW 2nd Ave,Portland,OR,97204,45.5169375,-122.6753653,5.0,56,"Falafel, Middle Eastern, Lebanese, Restaurants, Greek, Mediterranean"
139,Bluehour,250 NW 13th Ave,Portland,OR,97209,45.5248746993,-122.6840392,3.5,561,"French, Greek, Mediterranean, Lounges, Italian, Nightlife, Restaurants, Wine Bars, Bars"
140,Banana Cafe,6543 SE Milwaukie Ave,Portland,OR,97222,45.4754257202,-122.6493301392,4.0,20,"Sandwiches, Restaurants, Vietnamese, Coffee & Tea, Food, Bubble Tea"
141,Hawthorne Street Cafe,3354 SE Hawthorne Blvd,Portland,OR,97214,45.5118791,-122.6297626,3.5,74,"Sandwiches, Breakfast & Brunch, Restaurants"
142,Güero,200 NE 28th Ave,Portland,OR,97232,45.5244618,-122.6370351,4.5,490,"Food, Restaurants, Vegetarian, Cocktail Bars, Local Flavor, Bars, Beer Bar, Sandwiches, Nightlife, Mexican, Food Trucks"
143,Dirty Lettuce,5240 NE 42nd Ave,Portland,OR,97218,45.5612127,-122.6200325,5.0,24,"Food Trucks, Food, Restaurants, Cajun/Creole, Vegan"
144,Thai Mango,8601 SE 17th Ave,Portland,OR,97202,45.460665,-122.6472232,3.0,13,"Restaurants, Thai"
145,Turn! Turn! Turn!,8 NE Killingsworth St,Portland,OR,97211,45.5625569,-122.6667248,4.5,34,"Nightlife, Sandwiches, Music Venues, Shopping, American (Traditional), Books, Mags, Music & Video, Arts & Entertainment, Bars, Vinyl Records, Lounges, Restaurants"
146,Yataimura Maru,"3810 SE Division St, Ste D",Portland,OR,97202,45.504583,-122.6241433,4.0,564,"Restaurants, American (New), Ramen, Izakaya, Japanese, Tapas/Small Plates, Sushi Bars"
147,Gandhi's An East Indian Cafe,827 SW 2nd Ave,Portland,OR,97204,45.5169875,-122.6754369,4.0,101,"Food, Coffee & Tea, Pakistani, Restaurants, Indian"
148,WBX Meat Wagon,2411 NE Argyle St,Portland,OR,97211,45.5786876976,-122.6597290343,4.0,9,"Food, Comfort Food, Restaurants, Food Stands, Specialty Food, Burgers, Food Trucks, Meat Shops"
149,Chipotle Mexican Grill,"9120 SW Hall Blvd, Ste D",Portland,OR,97223,45.4547260619,-122.7769521001,2.5,147,"Restaurants, Fast Food, Mexican, Food"
150,Tin Shed Garden Cafe,1438 NE Alberta St,Portland,OR,97211,45.558987,-122.650876,4.0,1736,"Breakfast & Brunch, Gluten-Free, Beer, Wine & Spirits, American (New), American (Traditional), Vegetarian, Coffee & Tea, Burgers, Restaurants, Food"
151,Kauai Island Grill,811 NW Murray Blvd,Portland,OR,97229,45.5256274,-122.8148546,3.5,94,"Restaurants, Hawaiian"
152,Kay's Bar,6903 SE Milwaukie Ave,Portland,OR,97202,45.4738873,-122.6489963,4.0,245,"American (Traditional), Burgers, Restaurants, Bars, Sandwiches, Nightlife"
153,Lydia's Lounge,18330 E Burnside St,Portland,OR,97233,45.5209474,-122.4737359,3.5,11,"Nightlife, Bars, Restaurants, Breakfast & Brunch"
154,Living Health,5816 SW Hood Ave,Portland,OR,97239,45.4816178,-122.6745199,4.5,11,"Education, Specialty Food, Medical Spas, Health Markets, Health & Medical, Specialty Schools, Food, Restaurants, Gluten-Free, Beauty & Spas, Vegan"
155,Papa John's,3302 SE Powell Blvd,Portland,OR,97202,45.4965968,-122.6312712,2.5,25,"Restaurants, Pizza"
156,The Whole Bowl,4409 SE Hawthorne Blvd,Portland,OR,97215,45.512301,-122.616918,4.5,257,"Gluten-Free, Restaurants, Vegetarian, Vegan, Chinese, Food, Food Stands"
157,MacTarnahan's Taproom,2730 NW 31st,Portland,OR,97210,45.5415249,-122.7128905,3.5,66,"American (Traditional), Pubs, Restaurants, Bars, Breweries, Nightlife, American (New), Beer, Wine & Spirits, Food, Beer Bar"
158,Koji Osakaya,"1000 SW Broadway, Ste 110",Portland,OR,97205,45.5168957,-122.6805938,3.0,26,"Japanese, Sushi Bars, Food, Specialty Food, Restaurants"
159,JaCiva's Bakery,4733 SE Hawthorne Blvd,Portland,OR,97215,45.512317,-122.613401,4.0,204,"Candy Stores, Desserts, Specialty Food, Food, Bakeries, Chocolatiers & Shops, Coffee & Tea, Restaurants"
160,Muu-Muu's,612 NW 21st Ave,Portland,OR,97209,45.5272284,-122.6944314,4.0,353,"Bars, American (New), Tapas/Small Plates, Nightlife, Restaurants"
161,Moberi,3646 SE Hawthorne Blvd,Portland,OR,97214,45.5119399,-122.6259405,4.0,14,"Restaurants, Vegetarian, Vegan, Acai Bowls, Juice Bars & Smoothies, Food"
